time,0,1,2,3,4,5
2016-04-09 06:23:23.253,2016-04-09,06:23:23.253,32.5519,-103.9524,-12.7,G
2016-04-09 06:23:23.302,2016-04-09,06:23:23.302,31.7038,-104.8973,9.5,C
2016-04-09 06:23:23.303,2016-04-09,06:23:23.303,31.7758,-104.9336,-5.7,G
2016-04-09 06:23:23.318,2016-04-09,06:23:23.318,31.7128,-104.9385,3.4,C
2016-04-09 06:23:26.291,2016-04-09,06:23:26.291,31.7664,-104.868,2.7,C
2016-04-09 06:23:26.365,2016-04-09,06:23:26.365,31.8013,-104.8862,4.0,C
2016-04-09 06:23:27.032,2016-04-09,06:23:27.032,31.5538,-103.426,3.7,C
2016-04-09 06:23:28.460,2016-04-09,06:23:28.460,31.5633,-103.3852,3.9,C
2016-04-09 06:23:28.945,2016-04-09,06:23:28.945,31.7883,-104.7903,2.7,C
2016-04-09 06:23:28.992,2016-04-09,06:23:28.992,31.8319,-104.8822,2.8,C
2016-04-09 06:23:29.116,2016-04-09,06:23:29.116,31.7469,-104.7919,-1.6,C
2016-04-09 06:23:29.410,2016-04-09,06:23:29.410,31.5816,-103.3869,2.5,C
2016-04-09 06:23:33.581,2016-04-09,06:23:33.581,31.5179,-103.4469,3.8,C
2016-04-09 06:23:35.007,2016-04-09,06:23:35.007,31.8626,-104.869,2.9,C
2016-04-09 06:23:35.198,2016-04-09,06:23:35.198,31.7588,-104.8249,2.0,C
2016-04-09 06:23:35.223,2016-04-09,06:23:35.223,31.916,-104.9667,2.1,C
2016-04-09 06:23:35.342,2016-04-09,06:23:35.342,31.8287,-104.8309,-2.4,C
2016-04-09 06:23:35.346,2016-04-09,06:23:35.346,31.8524,-104.8723,-1.9,C
2016-04-09 06:23:35.731,2016-04-09,06:23:35.731,31.834,-104.8143,-24.8,G
2016-04-09 06:23:35.799,2016-04-09,06:23:35.799,31.4553,-103.6016,-5.8,G
2016-04-09 06:23:35.801,2016-04-09,06:23:35.801,31.8171,-104.8504,-8.8,G
2016-04-09 06:23:36.203,2016-04-09,06:23:36.203,31.5386,-103.4045,-33.0,G
2016-04-09 06:23:36.224,2016-04-09,06:23:36.224,31.5384,-103.4049,-10.2,G
2016-04-09 06:23:36.749,2016-04-09,06:23:36.749,31.5386,-103.4045,-18.7,G
2016-04-09 06:23:36.809,2016-04-09,06:23:36.809,31.5388,-103.4038,-10.9,G
2016-04-09 06:23:36.814,2016-04-09,06:23:36.814,31.5446,-103.4064,-6.2,C
2016-04-09 06:23:40.456,2016-04-09,06:23:40.456,31.7342,-104.7669,2.1,C
2016-04-09 06:23:42.340,2016-04-09,06:23:42.340,31.5318,-103.4578,8.3,C
2016-04-09 06:23:42.456,2016-04-09,06:23:42.456,31.6316,-103.3427,3.3,C
2016-04-09 06:23:44.460,2016-04-09,06:23:44.460,31.6244,-103.4447,-10.9,G
2016-04-09 06:23:44.574,2016-04-09,06:23:44.574,31.6245,-103.4438,-31.0,G
2016-04-09 06:23:44.636,2016-04-09,06:23:44.636,31.6239,-103.4436,-7.0,G
2016-04-09 06:23:45.667,2016-04-09,06:23:45.667,32.2379,-103.824,-5.4,C
2016-04-09 06:23:45.667,2016-04-09,06:23:45.667,32.2375,-103.8229,-3.3,C
2016-04-09 06:23:45.671,2016-04-09,06:23:45.671,32.226,-103.8158,-72.3,G
2016-04-09 06:23:45.711,2016-04-09,06:23:45.711,32.2356,-103.8298,-4.7,C
2016-04-09 06:23:45.711,2016-04-09,06:23:45.711,32.2373,-103.8217,16.6,G
2016-04-09 06:23:45.711,2016-04-09,06:23:45.711,32.2386,-103.7805,-10.6,C
2016-04-09 06:23:45.721,2016-04-09,06:23:45.721,32.2388,-103.8406,-19.7,G
2016-04-09 06:23:45.727,2016-04-09,06:23:45.727,32.2727,-103.8627,-14.8,C
2016-04-09 06:23:45.727,2016-04-09,06:23:45.727,32.2328,-103.8304,-2.6,C
2016-04-09 06:23:45.751,2016-04-09,06:23:45.751,32.2503,-103.8508,9.7,G
2016-04-09 06:23:45.803,2016-04-09,06:23:45.803,32.2203,-103.8127,-32.8,G
2016-04-09 06:23:45.834,2016-04-09,06:23:45.834,32.2429,-103.8392,-16.3,G
2016-04-09 06:23:45.835,2016-04-09,06:23:45.835,32.2345,-103.7514,-10.6,G
2016-04-09 06:23:45.860,2016-04-09,06:23:45.860,32.243,-103.8398,-18.8,G
2016-04-09 06:23:45.914,2016-04-09,06:23:45.914,32.2416,-103.8389,-60.5,G
2016-04-09 06:23:45.984,2016-04-09,06:23:45.984,32.2334,-103.8222,-6.5,G
2016-04-09 06:23:45.988,2016-04-09,06:23:45.988,32.281,-103.8673,-5.1,G
2016-04-09 06:23:45.991,2016-04-09,06:23:45.991,32.2461,-103.816,-19.9,G
2016-04-09 06:23:46.083,2016-04-09,06:23:46.083,32.0394,-103.8287,-3.5,C
2016-04-09 06:23:46.084,2016-04-09,06:23:46.084,32.2448,-103.8146,-31.3,G
2016-04-09 06:23:46.096,2016-04-09,06:23:46.096,32.2108,-103.8325,4.5,C
2016-04-09 06:23:46.179,2016-04-09,06:23:46.179,32.1771,-103.8387,6.4,C
2016-04-09 06:23:46.183,2016-04-09,06:23:46.183,32.2633,-103.806,-26.9,G
2016-04-09 06:23:46.187,2016-04-09,06:23:46.187,32.2634,-103.8504,6.7,C
2016-04-09 06:23:46.329,2016-04-09,06:23:46.329,32.2633,-103.8064,-34.0,G
2016-04-09 06:23:46.336,2016-04-09,06:23:46.336,32.2343,-103.8231,-15.6,C
2016-04-09 06:23:46.454,2016-04-09,06:23:46.454,32.2639,-103.8061,-14.7,G
2016-04-09 06:23:46.459,2016-04-09,06:23:46.459,32.2365,-103.8278,-14.4,C
2016-04-09 06:23:46.460,2016-04-09,06:23:46.460,32.1365,-103.8632,7.3,C
2016-04-09 06:23:46.959,2016-04-09,06:23:46.959,31.8543,-104.8725,4.3,C
2016-04-09 06:23:47.167,2016-04-09,06:23:47.167,31.8579,-104.8424,6.9,C
2016-04-09 06:23:47.180,2016-04-09,06:23:47.180,31.8456,-104.8452,9.9,G
2016-04-09 06:23:48.723,2016-04-09,06:23:48.723,31.512,-103.4477,3.5,C
2016-04-09 06:23:48.915,2016-04-09,06:23:48.915,31.5219,-103.4415,5.4,C
2016-04-09 06:23:49.077,2016-04-09,06:23:49.077,31.7519,-104.8218,3.9,C
2016-04-09 06:23:50.192,2016-04-09,06:23:50.192,32.5318,-103.9587,8.3,C
2016-04-09 06:23:51.888,2016-04-09,06:23:51.888,31.539,-103.3688,-4.5,C
2016-04-09 06:23:54.142,2016-04-09,06:23:54.142,31.567,-103.4428,3.5,C
2016-04-09 06:23:54.244,2016-04-09,06:23:54.244,31.8056,-104.8813,2.5,C
2016-04-09 06:23:54.410,2016-04-09,06:23:54.410,31.5252,-103.4632,3.4,C
2016-04-09 06:23:54.480,2016-04-09,06:23:54.480,31.9746,-104.9634,6.6,C
2016-04-09 06:23:54.775,2016-04-09,06:23:54.775,31.8072,-104.8137,5.0,C
2016-04-09 06:23:58.422,2016-04-09,06:23:58.422,31.7945,-104.907,1.6,C
2016-04-09 06:24:00.213,2016-04-09,06:24:00.213,31.7673,-104.8288,7.0,C
2016-04-09 06:24:00.217,2016-04-09,06:24:00.217,31.6314,-103.41,4.8,C
2016-04-09 06:24:00.306,2016-04-09,06:24:00.306,31.5901,-103.4544,7.6,C
2016-04-09 06:24:00.324,2016-04-09,06:24:00.324,31.539,-103.4793,9.6,C
2016-04-09 06:24:01.253,2016-04-09,06:24:01.253,31.7874,-104.7609,5.5,C
2016-04-09 06:24:02.051,2016-04-09,06:24:02.051,31.5229,-103.4411,4.7,C
2016-04-09 06:24:04.799,2016-04-09,06:24:04.799,31.7499,-104.8341,-3.6,C
2016-04-09 06:24:05.156,2016-04-09,06:24:05.156,31.7367,-104.9098,-1.7,C
2016-04-09 06:24:05.161,2016-04-09,06:24:05.161,31.7248,-104.8534,-9.7,G
2016-04-09 06:24:06.534,2016-04-09,06:24:06.534,31.504,-103.4582,2.7,C
2016-04-09 06:24:06.632,2016-04-09,06:24:06.632,31.8657,-104.8891,-2.1,C
2016-04-09 06:24:06.688,2016-04-09,06:24:06.688,31.8549,-104.8868,4.7,C
2016-04-09 06:24:07.390,2016-04-09,06:24:07.390,31.4506,-103.4417,2.6,C
2016-04-09 06:24:07.394,2016-04-09,06:24:07.394,31.5762,-103.3325,2.3,C
2016-04-09 06:24:07.567,2016-04-09,06:24:07.567,31.5548,-103.3882,7.5,C
2016-04-09 06:24:07.846,2016-04-09,06:24:07.846,31.5262,-103.4454,-5.2,C
2016-04-09 06:24:07.848,2016-04-09,06:24:07.848,31.5043,-103.3674,7.7,C
2016-04-09 06:24:08.942,2016-04-09,06:24:08.942,31.7854,-104.9179,1.9,C
2016-04-09 06:24:09.390,2016-04-09,06:24:09.390,31.8576,-104.9278,1.4,C
2016-06-01 00:00:10.040,2016-06-01,00:00:10.040,34.0367,-90.42,-15.7,G
2016-06-01 00:00:10.040,2016-06-01,00:00:10.040,34.0367,-90.42,-15.7,G
2016-08-01 00:00:10.143,2016-08-01,00:00:10.143,34.0352,-90.4203,-41.0,G
2016-08-01 00:00:10.143,2016-08-01,00:00:10.143,34.0352,-90.4203,-41.0,G
