2016-04-09 06:23:36.814  31.5446 -103.4064    -6.2  C
2016-04-09 06:23:40.456  31.7342 -104.7669    +2.1  C
2016-04-09 06:23:42.340  31.5318 -103.4578    +8.3  C
2016-04-09 06:23:42.456  31.6316 -103.3427    +3.3  C
2016-04-09 06:23:44.460  31.6244 -103.4447   -10.9  G
2016-04-09 06:23:44.574  31.6245 -103.4438   -31.0  G
2016-04-09 06:23:44.636  31.6239 -103.4436    -7.0  G
2016-04-09 06:23:45.667  32.2379 -103.8240    -5.4  C
2016-04-09 06:23:45.667  32.2375 -103.8229    -3.3  C
2016-04-09 06:23:45.671  32.2260 -103.8158   -72.3  G
2016-04-09 06:23:45.711  32.2386 -103.7805   -10.6  C
2016-04-09 06:23:45.711  32.2373 -103.8217   +16.6  G
2016-04-09 06:23:45.711  32.2356 -103.8298    -4.7  C
2016-04-09 06:23:45.721  32.2388 -103.8406   -19.7  G
2016-04-09 06:23:45.727  32.2727 -103.8627   -14.8  C
2016-04-09 06:23:45.727  32.2328 -103.8304    -2.6  C
2016-04-09 06:23:45.751  32.2503 -103.8508    +9.7  G
2016-04-09 06:23:45.803  32.2203 -103.8127   -32.8  G
2016-04-09 06:23:45.834  32.2429 -103.8392   -16.3  G
2016-04-09 06:23:45.835  32.2345 -103.7514   -10.6  G
2016-04-09 06:23:45.860  32.2430 -103.8398   -18.8  G
2016-04-09 06:23:45.914  32.2416 -103.8389   -60.5  G
2016-04-09 06:23:45.984  32.2334 -103.8222    -6.5  G
2016-04-09 06:23:45.988  32.2810 -103.8673    -5.1  G
2016-04-09 06:23:45.991  32.2461 -103.8160   -19.9  G
2016-04-09 06:23:46.083  32.0394 -103.8287    -3.5  C
2016-04-09 06:23:46.084  32.2448 -103.8146   -31.3  G
2016-04-09 06:23:46.096  32.2108 -103.8325    +4.5  C
2016-04-09 06:23:46.179  32.1771 -103.8387    +6.4  C
2016-04-09 06:23:46.183  32.2633 -103.8060   -26.9  G
2016-04-09 06:23:46.187  32.2634 -103.8504    +6.7  C
2016-04-09 06:23:46.329  32.2633 -103.8064   -34.0  G
2016-04-09 06:23:46.336  32.2343 -103.8231   -15.6  C
2016-04-09 06:23:46.454  32.2639 -103.8061   -14.7  G
2016-04-09 06:23:46.459  32.2365 -103.8278   -14.4  C
2016-04-09 06:23:46.460  32.1365 -103.8632    +7.3  C
2016-04-09 06:23:46.959  31.8543 -104.8725    +4.3  C
2016-04-09 06:23:47.167  31.8579 -104.8424    +6.9  C
2016-04-09 06:23:47.180  31.8456 -104.8452    +9.9  G
2016-04-09 06:23:48.723  31.5120 -103.4477    +3.5  C
2016-04-09 06:23:48.915  31.5219 -103.4415    +5.4  C
2016-04-09 06:23:49.077  31.7519 -104.8218    +3.9  C
2016-04-09 06:23:50.192  32.5318 -103.9587    +8.3  C
2016-04-09 06:23:51.888  31.5390 -103.3688    -4.5  C
2016-04-09 06:23:54.142  31.5670 -103.4428    +3.5  C
2016-04-09 06:23:54.244  31.8056 -104.8813    +2.5  C
2016-04-09 06:23:54.410  31.5252 -103.4632    +3.4  C
2016-04-09 06:23:54.480  31.9746 -104.9634    +6.6  C
2016-04-09 06:23:54.775  31.8072 -104.8137    +5.0  C
2016-04-09 06:23:58.422  31.7945 -104.9070    +1.6  C
2016-04-09 06:24:00.213  31.7673 -104.8288    +7.0  C
2016-04-09 06:24:00.217  31.6314 -103.4100    +4.8  C
2016-04-09 06:24:00.306  31.5901 -103.4544    +7.6  C
2016-04-09 06:24:00.324  31.5390 -103.4793    +9.6  C
2016-04-09 06:24:01.253  31.7874 -104.7609    +5.5  C
2016-04-09 06:24:02.051  31.5229 -103.4411    +4.7  C
2016-04-09 06:24:04.799  31.7499 -104.8341    -3.6  C
2016-04-09 06:24:05.156  31.7367 -104.9098    -1.7  C
2016-04-09 06:24:05.161  31.7248 -104.8534    -9.7  G
2016-04-09 06:24:06.534  31.5040 -103.4582    +2.7  C
2016-04-09 06:24:06.632  31.8657 -104.8891    -2.1  C
2016-04-09 06:24:06.688  31.8549 -104.8868    +4.7  C
2016-04-09 06:24:07.390  31.4506 -103.4417    +2.6  C
2016-04-09 06:24:07.394  31.5762 -103.3325    +2.3  C
2016-04-09 06:24:07.567  31.5548 -103.3882    +7.5  C
2016-04-09 06:24:07.846  31.5262 -103.4454    -5.2  C
2016-04-09 06:24:07.848  31.5043 -103.3674    +7.7  C
2016-04-09 06:24:08.942  31.7854 -104.9179    +1.9  C
2016-04-09 06:24:09.390  31.8576 -104.9278    +1.4  C
